leaderboard_date,rank,displayed_rank,is_featured,featured_rank,displayed_featured_rank,observed_in_all,observed_in_featured,recovered_from_view,product_name,tagline,description,upvotes,comments,reviews_count,reviews_rating,created_at,featured_at,product_hunt_url,product_hunt_visit_url,official_website_url,thumbnail,media,product_links,topics,company_name,company_source_url,maker_names,maker_roles,maker_profile_urls,submitter_name,submitter_profile_url,pages_checked,contact_status,enrichment_status,contact_form_url,public_channels,public_channel_sources,email,email_type,contact_name,email_source_url,source_context,email_source_tier,confidence,last_verified_at,notes
2026-08-12,1,1,True,1,1,True,True,,Dograh,The open source VAPI alternative,"Closed voice platforms make you rent your own agents. Dograh is completely open source—nothing is gated. It includes a visual flow builder, 30+ model integrations or local models, telephony, human transfer, and QA/monitoring, and is free to self-host.",530,147,,,,,https://www.producthunt.com/products/dograh,https://dograh.com/,https://dograh.com/,null,[],[],Open Source | Developer Tools | GitHub,,,Rohan Chaubey | Pritesh Kumar | Sandeep Vemu,Maker | Maker | Maker,https://www.producthunt.com/@rohanrecommends | https://www.producthunt.com/@pritesh_kumar3 | https://www.producthunt.com/@sandeep_vemu,,,https://www.dograh.com/?ref=producthunt,found,enriched,https://www.dograh.com/contact,github:https://github.com/dograh-hq/dograh,https://www.dograh.com/?ref=producthunt,founders@dograh.com,founder_developer,,https://www.dograh.com/?ref=producthunt,Visible founders email on official homepage,official_site,high,2026-08-13T04:40:22-07:00,
2026-08-12,2,2,True,2,2,True,True,,Grok Bot,AI teammates that you can give real work to,"Grok Bot provides AI teammates that sign into tools, complete assigned work, keep context, multitask, learn a working style, and return when approval is needed.",477,20,,,,,https://www.producthunt.com/products/grok,https://x.com/i/grok,https://x.com/i/grok,null,[],[],Productivity | Task Management | Artificial Intelligence,,,Ben Lang | Lauren Place | Lingxi Li,Hunter | Maker | Maker,https://www.producthunt.com/@benln | https://www.producthunt.com/@lauren_place | https://www.producthunt.com/@lilingxi01,,,https://x.com/i/grok?ref=producthunt,site_unavailable,blocked,,,,,,,,,,,2026-08-13T04:40:22-07:00,Official Visit destination redirected to an X login page in the in-app browser.
2026-08-12,3,3,True,3,3,True,True,,Lettertrace,Track your AI visibility for free (using your own API keys!),"Lettertrace measures how often Claude, ChatGPT, and Gemini mention a company. It is free, developer-first, bring-your-own-key, and open source.",384,59,,,,,https://www.producthunt.com/products/lettertrace,https://lettertrace.com/,https://lettertrace.com/,null,[],[],Open Source | Analytics | Marketing,,,fmerian | Mathew Pregasen | Casey Millstein,Hunter | Maker | Maker,https://www.producthunt.com/@fmerian | https://www.producthunt.com/@pregasen | https://www.producthunt.com/@cmillstein,,,https://lettertrace.com/?ref=producthunt,found,enriched,,github:https://github.com/letterstory/lettertrace,https://lettertrace.com/?ref=producthunt,support@letterbrace.com,support,,https://lettertrace.com/?ref=producthunt,Official homepage Contact mailto; domain differs from product domain,official_site,medium,2026-08-13T04:40:22-07:00,Contact email is preserved exactly as linked by the official site; it uses letterbrace.com rather than lettertrace.com.
2026-08-12,4,4,True,4,4,True,True,,Assembly Studio,AI app builder that grows your revenue,"An AI app builder for professional service firms. It builds production-grade onboarding agents, analytics dashboards, and community hubs, connects to third-party tools, and supports deployment and templates.",255,14,,,,,https://www.producthunt.com/products/assembly-7,https://studio.assembly.com/,https://studio.assembly.com/,null,[],[],Web App | SaaS | Artificial Intelligence,,,Ben Lang | Neil Raina | Marlon Misra,Hunter | Maker | Maker,https://www.producthunt.com/@benln | https://www.producthunt.com/@neilraina | https://www.producthunt.com/@marlonmisra,,,https://studio.assembly.com/?ref=producthunt,not_publicly_listed,enriched,,x:https://x.com/assemblycom | linkedin:https://www.linkedin.com/company/assemblycom,https://studio.assembly.com/?ref=producthunt | https://studio.assembly.com/?ref=producthunt,,,,,,,,2026-08-13T04:40:22-07:00,
2026-08-12,5,5,True,5,5,True,True,,Unsloth Desktop,Run and train AI models locally on your desktop,"An open-source desktop app to run and train AI models locally, including LLMs, image/video diffusion, and audio, with no-code fine-tuning and local-agent connections.",227,2,,,,,https://www.producthunt.com/products/unsloth,https://unsloth.ai/,https://unsloth.ai/,null,[],[],Open Source | Artificial Intelligence | GitHub,,,Zac Zuo | Michael Han | Daniel Han-Chen,Hunter | Maker | Maker,https://www.producthunt.com/@zaczuo | https://www.producthunt.com/@danielunsloth | https://www.producthunt.com/@danielhanchen,,,https://unsloth.ai/?ref=producthunt,not_publicly_listed,enriched,,github:https://github.com/unslothai/unsloth | discord:https://discord.com/invite/unsloth | linkedin:https://www.linkedin.com/company/unsloth | x:https://x.com/unslothai,https://unsloth.ai/?ref=producthunt | https://unsloth.ai/?ref=producthunt | https://unsloth.ai/?ref=producthunt | https://unsloth.ai/?ref=producthunt,,,,,,,,2026-08-13T04:40:22-07:00,
2026-08-12,6,6,True,6,6,True,True,,BearDrive,The open-source shared folder for your team's AI agents,"BearDrive syncs the local folders used by AI agents so files are shared, versioned, attributed to agent sessions, and readable at local paths. It is open source and self-hostable.",173,24,,,,,https://www.producthunt.com/products/beardrive,https://beardrive.ai/,https://beardrive.ai/,null,[],[],Productivity | Developer Tools | Artificial Intelligence,,,Snow Lee | Liam Hwang | Shuwn Jung,Hunter | Maker | Maker,https://www.producthunt.com/@snowlee | https://www.producthunt.com/@thefron | https://www.producthunt.com/@shuwn_jung,,,https://beardrive.ai/?ref=producthunt,not_publicly_listed,enriched,,github:https://github.com/runbear-io/beardrive,https://beardrive.ai/?ref=producthunt,,,,,,,,2026-08-13T04:40:22-07:00,
2026-08-12,7,7,True,7,7,True,True,,Swipe,Swipe right on your next customer,"Enter a target customer profile, review a ranked deck of real companies, keep or skip prospects, and export the selected companies to CSV without sign-up or credits.",142,19,,,,,https://www.producthunt.com/products/swipe-9,https://swipe.agently.dev/,https://swipe.agently.dev/,null,[],[],Productivity | Sales | Marketing,,,Omar Ghandour | Ahmad,Hunter | Maker,https://www.producthunt.com/@omarships | https://www.producthunt.com/@ahmadhajj,,,https://swipe.agently.dev/?ref=producthunt,not_publicly_listed,enriched,,,,,,,,,,,2026-08-13T04:40:22-07:00,
2026-08-12,8,8,True,8,8,True,True,,LaraCopilot,Agentic AI Engineer that builds real apps,"An agentic AI engineer that creates production-ready UI, backend, database, authentication, and APIs from a plain-language idea, with cloud deployment, GitHub export, and rollback.",145,26,,,,,https://www.producthunt.com/products/laracopilot,https://laracopilot.com/,https://laracopilot.com/,null,[],[],SaaS | Developer Tools | Artificial Intelligence,,,sahil darji | Vishal Rajpurohit | Mukund Parekh,Hunter | Maker | Maker,https://www.producthunt.com/@sahil_darji1 | https://www.producthunt.com/@vishal_rajpurohit | https://www.producthunt.com/@mukund_parekh,,,https://laracopilot.com/?ref=producthunt,not_publicly_listed,enriched,,,,,,,,,,,2026-08-13T04:40:22-07:00,
2026-08-12,9,9,True,9,9,True,True,,Click,Live research context for ChatGPT and Claude,"An MCP providing research connectors to professional and social platforms, marketplaces, financial data, and other live sources for ChatGPT and Claude.",132,6,,,,,https://www.producthunt.com/products/click-6,https://useclick.ai/,https://useclick.ai/,null,[],[],Productivity | Artificial Intelligence,,,Garry Tan | Aditya Asgaonkar,Hunter | Maker,https://www.producthunt.com/@garrytan | https://www.producthunt.com/@adiasg,,,https://www.useclick.ai/?ref=producthunt,not_publicly_listed,enriched,,x:https://x.com/useclick_ai | linkedin:https://www.linkedin.com/company/use-click,https://www.useclick.ai/?ref=producthunt | https://www.useclick.ai/?ref=producthunt,,,,,,,,2026-08-13T04:40:22-07:00,
2026-08-12,10,10,True,10,10,True,True,,RightCard,The honest credit card picker — no bank login,"An iOS/Safari tool that recommends which card to use, activates eligible bank offers, tracks rotating rewards, and warns about expiring credits or annual fees without requiring a bank login.",117,12,,,,,https://www.producthunt.com/products/rightcard,https://apps.apple.com/app/id6756834989,https://apps.apple.com/app/id6756834989,null,[],[],iOS | Fintech | Personal Finance,,,Parikshit Madahar,Maker,https://www.producthunt.com/@parikshit_builds,,,https://apps.apple.com/app/id6756834989?ct=producthunt&ref=producthunt,site_unavailable,blocked,,,,,,,,,,,2026-08-13T04:40:22-07:00,App Store destination redirected to the regional Today page; product contact details were not visible.
